,Unnamed: 0,page,product_link,img_link,product_name,star,review_count,ingredient,brand_name,type
0,0,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154188&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0015/A00000015418810ko.jpg?l=ko,어노브 실크 오일 헤어에센스 70ml 2종 택1 (텐더블룸/웜페탈),4.8,19719,"[텐더블룸]
사이클로펜타실록세인, 다이메티콘올, C12-15알킬벤조에이트, 다이메티콘, 아르간커넬오일, 비타민나무오일, 한련초추출물, 인도멀구슬나무잎추출물, 드럼스틱씨오일, 동백나무씨오일, 해바라기씨오일, 하이드롤라이즈드실크 (10 ppb), 올리브오일, 하이드롤라이즈드식물성단백질, 하이드롤라이즈드케라틴, 식물성아미노산, 실크아미노산 (1 ppb), 하이드롤라이즈드콘키올린단백질, 정제수, 사이클로헥사실록세인, 말토덱스트린, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 1,2-헥산다이올, 카프릴릴글라이콜, 아이소류신, 시트릭애씨드, 히스티딘, 시스테인, 메티오닌, 에틸헥실글리세린, 세라마이드엔피, 포스포리피드, 피토스핑고신, 피토스테롤, 에탄올, 포타슘벤조에이트, 포타슘솔베이트, 향료, 헥실신남알, 제라니올, 시트로넬올, 리모넨, 알파-아이소메틸아이오논
[웜페탈]
사이클로펜타실록세인,다이메티콘올,C12-15알킬 벤조에이트,에탄올,다이메티콘,향료,아르간커넬오일,비타민나무오일,한련초추출물,인도멀구슬나무잎추출물,드럼스틱씨오일,동백나무씨오일,해바라기씨오일,하이드롤라이즈드실크(10ppb),올리브오일,하이드롤라이즈드식물성단백질,하이드롤라이즈드케라틴,실크아미노산(1ppb),식물성아미노산,하이드롤라이즈드콘키올린단백질,정제수,사이클로헥사실록세인,말토덱스트린,글리세린,부틸렌글 라이콜,펜틸렌글라이콜,글라이신,에틸헥실글리세린,세린,글루타믹애씨드,아스파틱애씨드,류신,알라닌,라이신,알지닌,타이로신,페닐알라닌,프롤린,트레오닌,발린,1,2- 헥산다이올,카프릴릴글라이콜,아이소류신,시트릭애씨드,히스티딘,시스테인,메티오닌,세라마이드엔피,포스포리 피드,피토스핑고신,피토스테롤,포타슘벤조에이트,포타슘솔베이트,벤질살리실레이트,리날룰,제라니올,쿠마린",어노브,"건성,탈모"
1,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000125539&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0012/A00000012553929ko.jpg?l=ko,[단독기획]헤어플러스 단백질 본드 앰플 에센스 더블 기획(70ml+70ml),4.7,14752,"정제수, 피마자씨오일, 세테아릴알코올, 다이프로필렌글라이콜, 아모다이메티콘, 스테아라미도프로필다이메틸아민, 하이드롤라이즈드밀단백질(10,250PPM), 헥사펩타이드-9 , 팔미토일펜타펩타이드-4, 아세틸헥사펩타이드-8, 노나펩타이드-1, 카퍼트라이펩타이드-1, 팔미토일트라이펩타이드-1, 트라이펩타이드-1, 라이신, 히스티딘, 알지닌, 아스파틱애씨드, 트레오닌, 세린, 글루타믹애씨드, 프롤린, 글라이신, 알라닌, 발린, 메티오닌, 아이소류신, 류신, 타이로신, 페닐알라닌, 시스테인, 트립토판, 아스파라진, 글루타민, 실크가루, 누에고치추출물, 하이드롤라이즈드실크, 우유단백질추출물, 하이드롤라이즈드쌀단백질, 하이드롤라이즈드콩단백질, 하이드롤라이즈드엘라스틴, 하이드롤라이즈드케라틴, 하이드롤라이즈드콜라겐, 케라틴아미노산, 락틱애씨드, 세트리모늄클로라이드, 폴리쿼터늄-10, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 코코-카프릴레이트/카프레이트, 헥사다이메트린클로라이드, 다이소듐이디티에이, 클로헥시딘다이글루코네이트, 향료",헤어플러스,"민감성,탈모"
2,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198526&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019852604ko.jpg?l=ko,[대용량] 모로칸오일 헤어 트리트먼트 100ml(펌프포함) 택1 (오리지널/라이트),4.9,513,"사이클로매치콘, 디메치콘, 아르간트리커넬오일, 향료, 아마인추출물, 적색225호, 황색204",모로칸오일,
3,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000168640&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016864005ko.jpg?l=ko,미쟝센 컬링에센스 2X 볼륨컬/내추럴컬 230ml 택1,4.7,21530,"정제수, 다이메티콘, 사이클로펜타실록세인, 글리세린, 다이프로필렌글라이콜, 브이피/메타크릴아마이드/비닐이미다졸코폴리머, 에탄올, 아크릴레이트/스테아레스-20이타코네이트코폴리머, 폴리아크릴아마이드, 트로메타민, C13-14아이소파라핀, 카프릴릴글라이콜, 향료, 에틸헥실글리세린, 라우레스-7, 리날룰, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 제라니올, 시트로넬올, 헥실신남알, 벤질살리실레이트, 석류추출물, 1,2-헥산다이올, 스쿠알란, 아르간커넬오일, 살구씨오일, 프로판다이올, 소듐하이알루로네이트, 동백나무잎추출물, 토코페롤, 동백나무꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 피씨에이, 락틱애씨드, 글루코오스, 하이알루로닉애씨드, 글라이신, 우레아, 소듐글리세로포스페이트, 세린, 글루타믹애씨드, 포타슘마그네슘아스파테이트, 아스파틱애씨드, 류신, 소듐클로라이드, 알라닌, 라이신, 알지닌, 칼슘글루코네이트, 마그네슘글루코네이트, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 시트릭애씨드, 소듐아세틸레이티드하이알루로네이트, 히스티딘, 아세틸글루코사민, 시스테인, 크레아틴, 우릭애씨드, 메티오닌",미쟝센,"건성,민감성,지루성"
4,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183432&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018343203ko.jpg?l=ko,바이브랩 리바이브 테라피 헤어 스칼프 앤 브로우 앰플,4.7,2266,"정제수, 에탄올, 부틸렌글라이콜, 메틸프로판다이올, 글리세린, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 트로메타민, 엘-멘톨, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 살리실릭애씨드, 덱스판테놀, 프로판다이올, 녹차추출물, 병풀추출물, 센티드제라늄꽃오일, 다이소듐이디티에이, 지황뿌리추출물, 구기자추출물, 비치스트로베리추출물, 불가리스매자뿌리추출물, 검은뽕나무열매추출물, 산수유열매추출물, 질경이택사덩이줄기추출물, 감추출물, 동백나무잎추출물, 캐롭열매추출물, 에틸헥실글리세린, 모란뿌리추출물, 참마뿌리추출물, 미리스토일펜타펩타이드-4, 중국토복령추출물, 페녹시에탄올, 하이드록시프로필사이클로덱스트린, 동백나무꽃추출물, 칼메그추출물, 레스페데자 카피타타잎/줄기추출물, 요엽후박나무껍질추출물, 황금추출물, 쓴풀추출물, 하수오뿌리추출물, 한련초추출물, 참당귀뿌리추출물, 울금뿌리추출물, 측백나무잎추출물, 생강추출물, 당개나리열매추출물, 오미자추출물, 은행나무잎추출물, 인삼추출물, 잇꽃꽃추출물, 감초뿌리추출물, 검정콩추출물, 펜틸렌글라이콜, 사과세포배양추출물, 산구절초추출물, 무화과추출물, 쑥잎추출물, 약모밀추출물, 영지버섯추출물, 고삼뿌리추출물, 석창포추출물, 피이지-40하이드로제네이티드캐스터오일, 스페인감초뿌리추출물, 마데카소사이드, 아스퍼질러스발효물, 피피지-26-부테스-26, 카프릴릴글라이콜, 데실글루코사이드, 하이드록시아세토페논, 토코페롤, 호장근뿌리추출물, 카퍼트라이펩타이드-1, 알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘, 마트리카리아꽃추출물, 로즈마리잎추출물, 제라니올, 리날룰, 시트로넬올",바이브랩,"지성,건성,민감성,탈모"
5,5,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164902&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016490220ko.jpg?l=ko,[NEW] 미쟝센 퍼펙트 세럼 80ml [오리지널/스타일링/워터리/리치] 4종 택1,4.8,47692,"사이클로펜타실록세인, 다이메티콘올, 다이실록세인, C12-15알킬벤조에이트, 향료, 아르간커넬오일, 호호바씨오일, 코코넛야자오일, 리모넨, 살구씨오일, 올리브오일, 마룰라씨오일, 동백나무씨오일, 코코-카프릴레이트/카프레이트, 리날룰, 시트로넬올, 카프릴릭/카프릭트라이글리세라이드, 제라니올, 고추추출물, 베타-카로틴, 토코페롤, 글라이코리피드",미쟝센,
6,6,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177588&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017758810ko.jpg?l=ko,[한정기획] 실크테라피 에센스 145KIT(130+15) 3종 택1 (손상/극손상용),4.8,1961,"사이클로펜타실록세인, 다이메티콘올, 변성알코올, 하이드롤라이즈드실크에틸에스터(5,000 ppm), C12-15알킬벤조에이트, 판테놀, 향료, 알파-아이소메틸아이오논, 벤질벤조에이트, 부틸페닐메틸프로피오날, 시트로넬올, 유제놀, 제라니올, 헥실신남알, 하이드록시시트로넬알, 리날룰",실크테라피,"민감성,탈모"
7,7,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000140183&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A000000140183129ko.jpg?l=ko,[엔하이픈 성훈 PICK/체리우드 추가] 로레알파리 헤어오일 100ml 6종,4.8,23798,"[리치브라운오일]
아이소도데케인 카프릴릭/카프릭트라이글리세라이드 다이메티콘 다이카프릴릴에터 다이메티콘올 트라이메틸실록시실리케이트 벤질살리실레이트 스쿠알란 해바라기씨오일 카프릴릭/카프릭글리세라이즈 코코넛야자오일 벤질알코올 토코페롤 리모넨 마트리카리아꽃추출물 리날룰 비사보롤 비타민나무씨오일 에칠헥실살리실레이트 제라니올 티아꽃 하이드록시시트로넬알 아이소유제놀 파네솔 헥실신남알 로즈힙꽃추출물 연꽃꽃추출물 아마꽃추출물 향료

[에어리 실크]
아이소도데케인 카프릴릭/카프릭트라이글리세라이드 다이메티콘 다이카프릴릴에터 다이메티콘올 트라이메틸실록시실리케이트 마트리카리아꽃추출물 코코넛야자오일 토코페롤 에칠헥실살리실레이트 해바라기씨오일 연꽃꽃추출물 리모넨 아마꽃추출물 아이소유제놀 카프릴릭/카프릭글리세라이즈 비타민나무씨오일 향료 티아꽃 파네솔 비사보롤 로즈힙꽃추출물 시트랄 스쿠알란

[보태니컬]
아이소도데케인 카프릴릭/카프릭트라이글리세라이드 다이메티콘 다이카프릴릴에터 다이메티콘올 트라이메틸실록시실리케이트 해바라기씨오일 카프릴릭/카프릭글리세라이즈 코코넛야자오일 리날룰 리모넨 마트리카리아꽃추출물 비사보롤 에칠헥실살리실레이트 유럽개암씨오일 포도씨오일 시트로넬올 토코페롤 벤질알코올 티아꽃 파네솔 로즈힙꽃추출물 연꽃꽃추출물 아마꽃추출물 로즈마리추출물 향료

[에끌라 로즈]
아이소도데케인 카프릴릭/카프릭트라이글리세라이드 다이메티콘 다이카프릴릴에터 다이메티콘올 트라이메틸실록시실리케이트 해바라기씨오일 카프릴릭/카프릭글리세라이즈 코코넛야자오일 벤질살리실레이트 헥실신남알 벤질알코올 시트로넬올 마트리카리아꽃추출물 리날룰 비사보롤 페닐트라이메티콘 에칠헥실살리실레이트 하이드록시시트로넬알 제라니올 알파-아이소메틸아이오논 리모넨 토코페롤 티아꽃 다마스크장미꽃오일 파네솔 신나밀알코올 로즈힙꽃추출물 연꽃꽃추출물 아마꽃추출물 향료

[모히또]
아이소도데케인 카프릴릭/카프릭트라이글리세라이드 다이메티콘 다이카프릴릴에터 다이메티콘올 트라이메틸실록시실리케이트 토코페롤 리모넨 페퍼민트오일 향료 레몬껍질오일

[체리우드]
1243866 아이소도데케인 카프릴릭/카프릭트라이글리세라이드 다이메티콘 다이카프릴릴에터 다이메티콘올 트라이메틸실록시실리케이트 토코페롤 아니스알코올 리모넨 리날룰 벤질알코올 알파-아이소메틸아이오논 솔잣나무잎/너트/줄기오일 향료 제라니올 시트로넬올 쿠마린 아밀신남알",로레알,"건성,지루성"
8,8,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171422&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017142224ko.jpg?l=ko,[1&1더블] 어노브 실크 오일 헤어 에센스 더블 기획세트 (70ml+70ml) 3종 택 1 (텐더블룸/웜페탈),4.8,19719,"[텐더블룸]
사이클로펜타실록세인, 다이메티콘올, C12-15알킬벤조에이트, 다이메티콘, 아르간커넬오일, 비타민나무오일, 한련초추출물, 인도멀구슬나무잎추출물, 드럼스틱씨오일, 동백나무씨오일, 해바라기씨오일, 하이드롤라이즈드실크 (10 ppb), 올리브오일, 하이드롤라이즈드식물성단백질, 하이드롤라이즈드케라틴, 식물성아미노산, 실크아미노산 (1 ppb), 하이드롤라이즈드콘키올린단백질, 정제수, 사이클로헥사실록세인, 말토덱스트린, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 1,2-헥산다이올, 카프릴릴글라이콜, 아이소류신, 시트릭애씨드, 히스티딘, 시스테인, 메티오닌, 에틸헥실글리세린, 세라마이드엔피, 포스포리피드, 피토스핑고신, 피토스테롤, 에탄올, 포타슘벤조에이트, 포타슘솔베이트, 향료, 헥실신남알, 제라니올, 시트로넬올, 리모넨, 알파-아이소메틸아이오논
[웜페탈]
사이클로펜타실록세인,다이메티콘올,C12-15알킬 벤조에이트,에탄올,다이메티콘,향료,아르간커넬오일,비타민나무오일,한련초추출물,인도멀구슬나무잎추출물,드럼스틱씨오일,동백나무씨오일,해바라기씨오일,하이드롤라이즈드실크(10ppb),올리브오일,하이드롤라이즈드식물성단백질,하이드롤라이즈드케라틴,실크아미노산(1ppb),식물성아미노산,하이드롤라이즈드콘키올린단백질,정제수,사이클로헥사실록세인,말토덱스트린,글리세린,부틸렌글 라이콜,펜틸렌글라이콜,글라이신,에틸헥실글리세린,세린,글루타믹애씨드,아스파틱애씨드,류신,알라닌,라이신,알지닌,타이로신,페닐알라닌,프롤린,트레오닌,발린,1,2- 헥산다이올,카프릴릴글라이콜,아이소류신,시트릭애씨드,히스티딘,시스테인,메티오닌,세라마이드엔피,포스포리 피드,피토스핑고신,피토스테롤,포타슘벤조에이트,포타슘솔베이트,벤질살리실레이트,리날룰,제라니올,쿠마린",어노브,"건성,탈모"
9,9,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144959&dispCatNo=1000001000400130002&trackingCd=Cat1000001000400130002_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC_%EC%86%8C_%ED%97%A4%EC%96%B4%EC%98%A4%EC%9D%BC/%ED%97%A4%EC%96%B4%EC%84%B8%EB%9F%BC__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014495916ko.jpg?l=ko,[경민 PICK] 커리쉴 실키 오일 세럼 70ml,4.9,2710,"사이클로펜타실록세인, 사이클로헥사실록세인, 다이실록세인, 다이메티콘올, 다이메티콘, 아이소프로필미리스테이트, 아르간커넬오일, 마카다미아씨오일, 호호바씨오일, 바바수씨오일, 이테야자열매오일, 편백오일, 동백나무씨오일, 올리브오일, 브라질넛씨오일, 코코넛야자오일, 티아꽃추출물, 토코페롤, 향료, 리모넨, 리날룰",커리쉴,
