,Unnamed: 0,page,product_link,img_link,product_name,star,review_count,ingredient,brand_name,type
0,0,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184997&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018499704ko.jpg?l=ko,아베다 스칼프솔루션 리플레니싱 컨디셔너 200ml,4.6,9,"정제수,세테아릴알코올,베헨트라이모늄메토설페이트,다이스테아릴다이모늄클로라이드,바바수씨오일,스테아라미도프로필다이메틸아민 ,프로판다이올,락토바실러스발효물,락틱애씨드,드럼스틱씨오일,징크피씨에이,향료,페녹시에탄올,알지닌,하이드록시에틸셀룰로오스,리모넨,포타슘솔베이트,리날룰,토코페롤,해바라기씨오일,제라니올,하이드록시시트로넬알,칼메그추출물,벤질살리실레이트,병풀추출물 [ILN99164]   * 제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",아베다,"건성,민감성"
1,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152758&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0015/A00000015275823ko.jpg?l=ko,미쟝센 살롱10 단백질 트리트먼트 에센스팩 990ml (손상/극손상) 2종 택1,4.8,7386,"정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 다이메티콘, 세틸알코올, 스테아릴알코올, 베헨트라이모늄메토설페이트, 하이드롤라이즈드콜라겐, 향료, 다이메티콘올, 아모다이메티콘, 트라이메틸실록시실리케이트, 폴리프로필실세스퀴옥세인, 아미노프로필다이메티콘, 카프릴릴메티콘, 리날룰, 에틸헥실글리세린, 다이소듐이디티에이, 부틸페닐메틸프로피오날, 리모넨, 하이드롤라이즈드식물성단백질, 제라니올, 1,2-헥산다이올, 스테아트라이모늄클로라이드, 다마스크장미꽃추출물, 락틱애씨드, 만니톨, 소듐벤조에이트, 알지닌, 세린, 수크로오스, 피씨에이, 시트룰린, 글라이코젠, 히스티딘에이치씨엘, 알라닌, 트레오닌, 글루타믹애씨드, 라이신에이치씨엘, 토코페롤",미쟝센,"건성,민감성"
2,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204542&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020454201ko.jpg?l=ko,이브로쉐 라즈베리 샤인 헤어식초 400ml,4.8,2894,"정제수, 비니거(1.98%), 향료, 락틱애씨드, 스테아라미도프로필다이메틸아민, 카프릴릴/카프릴글루코사이드, 프룩토올리고사카라이드, 세트리모늄클로라이드, 글리세린, 이눌린, 메틸프로판다이올, 에탄올, 라즈베리추출물(0.001%), 적색504호, 적색227호, 청색1호",이브로쉐,"건성,민감성"
3,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204536&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020453601ko.jpg?l=ko,이브로쉐 모링가 리프레시 헤어식초 400ml 트리플 기획,4.8,1729,"정제수, 비니거(1.98%), 향료, 락틱애씨드, 스테아라미도프로필다이메틸아민, 카프릴릴/카프릴글루코사이드, 프룩토올리고사카라이드, 세트리모늄클로라이드, 글리세린, 이눌린, 메틸프로판다이올, 에탄올, 라즈베리추출물(0.001%), 적색504호, 적색227호, 청색1호",이브로쉐,"건성,민감성"
4,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204540&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020454001ko.jpg?l=ko,이브로쉐 라즈베리 샤인 헤어식초 400ml 더블 기획,4.8,2510,"정제수, 비니거(1.98%), 향료, 락틱애씨드, 스테아라미도프로필다이메틸아민, 카프릴릴/카프릴글루코사이드, 프룩토올리고사카라이드, 세트리모늄클로라이드, 글리세린, 이눌린, 메틸프로판다이올, 에탄올, 라즈베리추출물(0.001%), 적색504호, 적색227호, 청색1호",이브로쉐,"건성,민감성"
5,5,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000012895&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0001/A00000001289515ko.jpg?l=ko,라우쉬 하트씨드 센시티브 린스 컨디셔너 200ml (민감 두피 진정 컨디셔너),4.7,32,"정제수,세테아릴알코올,브라시카알코올,프로필렌글라이콜다이벤조에이트,풍선덩굴씨추출물,코코넛오일,글리세린,사카라이드아이소머레이트,베헨트라이모늄메토설페이트,판테놀,다이스테아로일에틸하이드록시에틸모늄메토설페이트,판테닐에틸에터,브라시실아이소류시네이트에실레이트,폴리에스터-11,만니톨,소듐레불리네이트,글리세릴카프릴레이트,하이드록시에틸셀룰로오스,소듐세테아릴설페이트,자일리틸글루코사이드,시트릭애씨드,안하이드로자일리톨,소듐아니세이트,자일리톨,소듐시트레이트,2,6-다이메틸-7-옥텐-2-올,폴리쿼터늄-55,아세틸테트라펩타이드-15",라우쉬,"건성,민감성,탈모"
6,6,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141858&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014185808ko.jpg?l=ko,츠바키 프리미엄 볼륨&리페어 컨디셔너 490ml,4.8,1845,"정제수, 아이소펜틸다이올, 베헨트라이모늄클로라이드, 글리세린, 스테아릴알코올, 다이메티콘, 베헤닐알코올, 세틸알코올, 아이소프로필알코올, 향료, 다이프로필렌글라이콜, 아이소프로필미리스테이트, 피이지-2라우레이트, 소듐벤조에이트, 페녹시에탄올, 아모다이메티콘, 소듐메틸타우레이트, 살리실릭애씨드, 아미노프로필다이메티콘, 피피지-2-데세스-12, 스테아트라이모늄클로라이드, 하이드로제네이티드폴리아이소부텐, 폴리실리콘-13, 다이소듐이디티에이, 피토스테릴/옥틸도데실라우로일글루타메이트, 동백나무씨오일, 락틱애씨드, 소듐다이라우미도글루타미드라이신, 세트리모늄클로라이드, 부틸렌글라이콜, 황색4호, 적색 227호, 로얄젤리추출물, 돌콩추출물, 토코페롤, 부틸페닐메틸프로피오날, 리날룰",츠바키,"지성,건성,민감성"
7,7,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202498&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020249801ko.jpg?l=ko,[모발강화] 아로마티카 로즈마리 헤어 씨크닝 컨디셔너 400ml(NEW),4.6,1006,"로즈마리잎추출물@소나무잎추출물@글리세린@카프릴릭/카프릭트라이글리세라이드@세틸알코올@베헨트라이모늄메토설페이트@스테아릴알코올@세테아릴알코올@로즈마리잎오일@바질잎추출물@오레가노잎추출물@생강추출물@바바수씨오일@드럼스틱씨오일@베타인@비피다발효용해물@락토바실러스발효용해물@바이오틴@판테놀@카페인@편백잎추출물@해당화잎추출물@폴리쿼터늄-10@벤조인나무검@레몬밤잎추출물@아틀라스시다나무껍질오일@솔잣나무오일@구아하이드록시프로필트라이모늄클로라이드@분비나무오일@정제수@리모넨@1,2-헥산다이올",아로마티카,"건성,민감성,탈모"
8,8,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141617&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014161707ko.jpg?l=ko,츠바키 프리미엄 모이스트&리페어 컨디셔너 490ml,4.8,693,"정제수, 글리세린, 솔비톨, 다이메티콘, 아이소펜틸다이올, 하이드로제네이티드레이프씨드알코올, 베헨트라이모늄클로라이드, 스테아릴알코올, 아이소프로필알코올, 세틸알코올, 향료, 아미노프로필다이메티콘",츠바키,건성
9,9,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000009271&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0000/A00000000927106ko.jpg?l=ko,[한소희PICK]로레알파리 토탈리페어5 리페어링 컨디셔너 410ml,4.6,3646,"정제수 세테아릴알코올 베헨트라이모늄클로라이드 세틸에스터 락틱애씨드 페녹시에탄올 알지닌 트라이데세스-6 클로헥시딘다이글루코네이트 리모넨 리날룰 벤질알코올 벤질살리실레이트 아모다이메티콘 아이소프로필알코올 2-올레아미도-1,3-옥타데칸다이올 알파-아이소메틸아이오논 향료 세린 시트릭애씨드 시트로넬올 세트리모늄클로라이드",로레알,민감성
10,10,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181787&dispCatNo=1000001000400080002&trackingCd=Cat1000001000400080002_Small&t_page=카테고리관&t_click=린스/컨디셔너_소_린스/컨디셔너__상품상세&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018178704ko.jpg?l=ko,케라시스 단백질 컨디셔너980ML 4종 택1,4.7,218,"정제수,세테아릴알코올,스테아릴알코올,베헨트라이모늄클로라이드,다이메티콘,로즈마리잎추출물,라이신,히스티딘,알지닌,아스파틱애씨드,트레오닌,세린,글루타믹애씨드,프롤린,글라이신,알라닌,발린,메티오닌,아이소류신,류신,타이로신,페닐알라닌,시스테인,하이드롤라이즈드밀단백질,하이드롤라이즈드콩단백질,하이드롤라이즈드쌀단백질,다이프로필렌글라이콜,카프릴릴글라이콜,락틱애씨드,포타슘락테이트,폴리글리세릴-2스테아레이트,아모다이메티콘,글리세릴스테아레이트,1,2-헥산다이올,부틸렌글라이콜,글리세린,향료,벤질벤조에이트,벤질살리실레이트,시트로넬올,리모넨,리날룰* 단백질성분(밀, 콩, 쌀) : 50 ppm",케라시스,"건성,민감성"
