,Unnamed: 0,page,product_link,img_link,product_name,star,review_count,ingredient,brand_name,type
0,0,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210834&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021083403ko.jpg?l=ko,[10월올영픽/1+1]아로마티카 로즈마리 스칼프 스케일링 샴푸 400ml 더블기획(+100ml 추가 증정),4.8,2855,"로즈마리잎추출물@정제수@소나무잎추출물@소듐메틸코코일타우레이트@소듐코코일이세티오네이트@소듐메틸올레오일타우레이트@라우릴베타인@프로판다이올@소듐클로라이드@에리스리톨@라우릴글루코사이드@살리실릭애씨드@로즈마리잎오일@바질잎추출물@홀리바질잎추출물@오레가노잎추출물@생강추출물@비피다발효용해물@락토바실러스발효용해물@알지닌@바이오틴@판테놀@카페인@폴리쿼터늄-10@카프릴릴글라이콜@아틀라스시다나무껍질오일@부틸렌글라이콜@스타아니스추출물@솔잣나무오일@분비나무오일@나이아신아마이드@벤조인나무검@리모넨@글리세린@인도멀구슬나무잎추출물@인도멀구슬나무꽃추출물@맥아추출물@아이비고드열매추출물@호박가루@가지열매추출물@강황추출물@참산호말추출물@드럼스틱씨오일@다이소듐이디티에이@1,2-헥산다이올",아로마티카,"지성,건성,민감성,탈모"
1,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211351&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021135102ko.jpg?l=ko,[10월올영픽/한혜진Pick]스팀베이스 티트리 스칼프 워터 스케일러 250ml 기획세트(+50ml+브러쉬 증정),4.9,2326,"정제수, 티트리잎추출물(230,545ppm), 라우릴글루코사이드, 다이소듐라우레스설포석시네이트, 글리세린, 다이소듐코코암포다이아세테이트, 1,2-헥산다이올, 소듐클로라이드, 멘톨, 피록톤올아민, 카프릴릴글라이콜, 시트릭애씨드, 피피지-3카프릴릴에터, 판테놀, 티트리잎오일(2,000ppm), 로즈마리잎오일, 살리실릭애씨드, 황련뿌리추출물, 구아하이드록시프로필트라이모늄클로라이드, 베타인, 알란토인, 나이아신아마이드, 다이소듐이디티에이, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세릴카프레이트, 블랙윌로우나무껍질추출물, 카페인, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 바이오틴, 호박가루, 가지열매추출물, 맥주효모추출물, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 드럼스틱씨오일, 대왕송잎추출물, 당느릅나무뿌리추출물, 달맞이꽃추출물, 칡뿌리추출물",스팀베이스,"비듬,지성,건성,민감성,탈모"
2,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180872&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018087212ko.jpg?l=ko,어노브 딥 데미지 리페어 샴푸 500g (단백질 앰플 샴푸),4.8,3286,"정제수, 소듐라우레스설페이트, 암모늄라우릴설페이트, 코카미도프로필베타인, 다이프로필렌글라이콜, 피피지-3미리스틸에터, 소듐벤조에이트, 폴리쿼터늄-10, 소듐클로라이드, 카프릴릴글라이콜, 시트릭애씨드, 하이드록시프로필구아하이드록시프로필트라이모늄클로라이드, 페녹시에탄올, 펜타소듐펜테테이트, 소듐카보네이트, 하이드롤라이즈드우유단백질, 하이드롤라이즈드콜라겐, 부틸렌글라이콜, 1,2-헥산다이올, 하이드롤라이즈드실크, 페퍼민트잎추출물, 마트리카리아꽃추출물, 베르가못잎추출물, 로즈마리잎추출물, 프리지아추출물, 라벤더추출물, 하이드롤라이즈드케라틴, 에틸헥산다이올, 실크아미노산, 에틸헥실글리세린, 동백나무씨오일, 올리브오일, 아르간커넬오일, 퀸즈랜드넛오일, 해바라기씨오일, 하이드롤라이즈드옥수수단백질, 하이드롤라이즈드콩단백질, 하이드롤라이즈드밀단백질, 류신, 타우린, 아이소류신, 발린, 아스파틱애씨드, 오르니틴, 글루타믹애씨드, 글라이신, 글루타민, 시스틴, 메티오닌, 타이로신, 라이신, 알라닌, 페닐알라닌, 세린, 트립토판, 트레오닌, 알지닌, 히스티딘, 아스파라진, 프롤린, 향료, 시트로넬올, 제라니올, 헥실신남알, 리모넨",어노브,"건성,탈모"
3,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208492&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020849201ko.jpg?l=ko,[NEW/탈모증상완화] 하아르 닥터란 계란유래단백질 샴푸 500ml,4.8,411,"정제수, 다이소듐라우레스설포석시네이트, 글리세린, 에탄올, 라우릴베타인, 코코-글루코사이드, 폴리쿼터늄-10, 살리실릭애씨드, 판테놀, 향료, 소듐클로라이드, 나이아신아마이드, 시트릭애씨드, 카프릴릴글라이콜, 멘톨, 다이소듐이디티에이, 에틸헥실글리세린, 바이오틴, 아라비아고무나무검, 토탄수, 하이드롤라이즈드콜라겐, 하이드록시프로필메틸셀룰로오스, 부틸렌글라이콜, 하이드롤라이즈드케라틴, 하이드로제네이티드레시틴, 펜틸렌글라이콜, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 시어버터, 피토스테롤, 검은깨추출물, 검정콩추출물, 서양산딸기추출물, 뽕나무열매추출물, 잔탄검, 흑미추출물, 하이드롤라이즈드완두콩단백질, 스쿠알란, 세라마이드엔피, 포타슘솔베이트",하아르,"비듬,지성,건성,지루성,민감성,탈모"
4,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208266&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020826609ko.jpg?l=ko,[10월 올영픽/기은세PICK] 솔랩 탈모/가려움케어 샴푸 300ml+100ml 추가증정기획,5.0,4260,"정제수, 포타슘코코일글리시네이트, 라우릴글루코사이드, 라우라미도프로필베타인, 코카마이드미파, 테트라소듐이디티에이, 1,2-헥산다이올, 스타아니스추출물, 황금추출물, 부틸렌글라이콜, 판테놀, 판토락톤, 징크피리치온, 폴리쿼터늄-10, 멘톨, 시트릭애씨드, 살리실릭애씨드, 황련뿌리추출물, 유칼립투스잎오일, 로즈마리잎오일, 라벤더오일, 1,2-헥산다이올, 에틸헥실글리세린, 알로에베라잎추출물, 코치닐선인장열매추출물, 오미자추출물, 레드초크베리추출물, 동충하초추출물, 꽃송이버섯추출물, 마뿌리추출물, 알부민추출물, 하이드롤라이즈드인삼사포닌, 비누풀잎추출물, 하이드롤라이즈드실크, 하이드롤라이즈드엘라스틴, 하이드롤라이즈드케라틴, 리모넨, 리날룰",솔랩,"지성,건성,민감성,탈모"
5,5,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192554&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019255411ko.jpg?l=ko,헤드앤숄더 가려운 두피케어 샴푸 500ml 더블 기획,4.8,5944,"정제수, 소듐라우레스설페이트, 소듐자일렌설포네이트, 글라이콜다이스테아레이트, 소듐라우릴설페이트, 코카미도프로필베타인, 코카마이드엠이에이, 소듐시트레이트, 다이메티콘, 향료, 피록톤올아민, 소듐클로라이드, 시트릭애씨드, 멘톨, 소듐벤조에이트, 구아하이드록시프로필트라이모늄클로라이드, 테트라소듐이디티에이, 스테아릴알코올, 세틸알코올, 콘민트잎/줄기오일, 페퍼민트꽃/잎/줄기오일, 하이드록시시트로넬알, 리날룰, 폴리쿼터늄-76, 프로필렌글라이콜, 메칠클로로이소치아졸리논/메칠이소치아졸리논(3:1), 유칼립투스잎추출물",헤드앤숄더,
6,6,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164470&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016447031ko.jpg?l=ko,롱테이크 샴푸 300+100ML 기획 외 단품 3종 택 1,4.8,1224,"정제수, 소듐C14-16올레핀설포네이트, 솔비톨, 라우릴하이드록시설테인, 향료(블랙티앤피그향 2.2%), 다이소듐라우레스설포석시네이트, 코카미도프로필베타인, 코코-글루코사이드, 코카마이드메틸엠이에이, 변성알코올, 카페인, 폴리쿼터늄-10, 소듐살리실레이트, 소듐클로라이드, 소듐시트레이트, 시트릭애씨드, 피피지-3카프릴릴에터, 헥실신남알, 테트라소듐이디티에이, 부틸렌글라이콜, 리날룰, 소듐벤조에이트, 시트로넬올, 리모넨, 하이드롤라이즈드옥수수전분, 소나무잎추출물, 글리세린, 에탄올, 폴리쿼터늄-11, 녹차추출물, 동백나무씨오일, 프로판다이올, 동백나무잎추출물, 편백잎추출물, 콩폴리펩타이드, 동백나무꽃추출물, 트라이에틸시트레이트, 포타슘클로라이드, 글라이코리피드, 오렌지추출물, 자몽추출물, 베르가모트추출물, 탄제린추출물, 아스코빅애씨드, 녹차씨추출물, 락틱애씨드, 검정콩오일, 로부르참나무목부추출, 세라마이드엔피, 피토스핑고신, 로즈마리잎추출물, 하이드로제네이티드레시틴, 카놀라오일",롱테이크,"비듬,지성,건성,민감성,탈모"
7,7,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152475&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0015/A00000015247514ko.jpg?l=ko,라보에이치 탈모증상완화 샴푸 두피강화 (333ml+50ml),4.7,9686,"정제수, 소듐코코일이세티오네이트, 다이소듐라우레스설포석시네이트, 라우릴베타인, 글리세릴스테아레이트, 트라이하이드록시스테아린, 폴리쿼터늄-10, 카페인, 세틸알코올, 다이카프릴릴에터, 소듐벤조에이트, 소듐살리실레이트, 시트릭애씨드, 페퍼민트오일, 멘톨, 카프릴릭/카프릭트라이글리세라이드, 카프릴릴글라이콜, 스타아니스열매/씨오일, 로즈마리잎오일, 덱스트린, 연필향나무오일, 테트라소듐이디티에이, 콘민트오일, 유칼립투스잎오일, 바질오일, 캐모마일꽃오일, 향기제비꽃잎추출물, 락토바실러스발효용해물, 글리세린, 녹차씨추출물, 토코페롤, 돌콩오일, 세라마이드엔피, 하이드로제네이티드레시틴, 피토스핑고신, 바이오틴",라보에이치,"건성,비듬,탈모"
8,8,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201277&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020127710ko.jpg?l=ko,[10월 올영픽] 바이오가 바이오틴 손상모발개선 탈모완화 샴푸 1000ml,4.9,1164,"정제수, 소듐C14-16올레핀설포네이트, 다이소듐라우레스설포석시네이트, 라우릴베타인, 라우릴하이드록시설테인, 부틸렌글라이콜, 돌콩배아추출물, 쥐손이풀잎추출물, 소듐코코일이세티오네이트, 라우라마이드미파, 코코-글루코사이드, 카프릴릴글라이콜, 데실글루코사이드, 시트릭애씨드, 폴리쿼터늄-10, 프로판다이올, 1,2-헥산다이올, 소듐시트레이트, 트라이하이드록시스테아린, 폴리글리세릴-10아이소스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린, 폴리글리세릴-10올리에이트, 바이오틴(500ppm), 소듐파이테이트, 토코페롤, 세테아릴알코올, 카페인, 포타슘솔베이트, 향료",바이오가,"지성,건성,비듬,탈모"
9,9,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181247&dispCatNo=1000001000400080001&trackingCd=Cat1000001000400080001_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%83%B4%ED%91%B8_%EC%86%8C_%EC%83%B4%ED%91%B8__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018124725ko.jpg?l=ko,[10월 올영픽] 라우쉬 콜츠푸트 안티-댄드러프 샴푸 200ml 듀오 기획,4.8,6531,"정제수,소듐라우레스설페이트**,관동화잎추출물,코코-베타인,우엉뿌리추출물,피이지-150,포타슘운데실레노일하이드롤라이즈드콩단백질,라우레스-2,피록톤올아민,소듐클로라이드,소듐벤조트라이아졸릴부틸페놀설포네이트,다이소듐운데실렌아미도엠이에이-설포석시네이트,살리실릭애씨드,포타슘솔베이트,소듐벤조에이트,시트릭애씨드,향료,헥실신남알,황색203호,적색504호,청색1호(***코코넛 유래 클렌징 성분 함유)",라우쉬,지성
